Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q145000,0.03,327.03,0.00,13.41,54.07,0.73,1.00,4.90,365.06,1.39,0.00,109973.00
q146000,0.03,332.03,0.00,13.68,54.15,0.74,1.00,4.97,363.14,1.40,0.00,110773.00
q147000,0.03,337.09,0.00,13.94,54.05,0.75,1.00,5.03,360.85,1.41,0.00,111537.00
q148000,0.02,338.67,0.00,14.13,54.23,0.77,1.00,5.10,361.19,1.42,0.00,112318.00
q149000,0.02,343.69,0.00,14.41,54.14,0.78,1.00,5.17,358.96,1.43,0.00,113071.00
q150000,0.02,347.80,0.00,14.02,54.62,0.77,1.00,5.24,373.73,1.44,0.00,113846.00
q151000,0.03,353.68,0.00,14.24,54.97,0.78,1.00,5.31,373.10,1.45,0.00,114586.00
q152000,0.03,358.47,0.00,14.83,54.44,0.81,1.00,5.38,362.82,1.46,0.00,115348.00
q153000,0.02,363.40,0.00,15.01,54.40,0.82,1.00,5.45,363.34,1.47,0.00,116126.00
q154000,0.05,368.49,0.00,15.23,54.43,0.83,1.00,5.53,362.67,1.48,0.00,116880.00
q155000,0.05,376.95,0.00,15.17,54.79,0.83,1.00,5.59,368.67,1.49,0.00,117617.00
q156000,0.03,390.58,0.00,15.60,55.77,0.87,1.00,5.67,363.45,1.50,0.00,118376.00
q157000,0.03,387.42,0.00,15.80,54.90,0.87,1.00,5.74,363.59,1.51,0.00,119140.00
q158000,0.02,392.75,0.00,16.07,54.79,0.88,1.00,5.81,361.68,1.52,0.00,119920.00
q159000,0.03,399.71,0.00,16.25,54.64,0.89,1.00,5.89,362.38,1.53,0.00,120652.00
q160000,0.03,392.14,0.00,16.35,54.69,0.89,1.00,5.96,364.58,1.54,0.00,121417.00
q161000,0.03,399.76,0.00,16.50,54.46,0.90,1.00,6.04,365.88,1.55,0.00,122199.00
q162000,0.03,412.74,0.00,16.70,54.57,0.91,1.00,6.11,366.11,1.56,0.00,122954.00
