Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q182000,0.02,615.13,0.00,20.12,53.13,1.07,1.00,7.71,383.37,1.72,0.00,134308.00
q183000,0.03,620.73,0.00,20.40,52.51,1.07,1.00,7.80,382.34,1.73,0.00,135035.00
q184000,0.03,628.84,0.00,20.79,52.05,1.08,1.00,7.88,379.22,1.74,0.00,135769.00
q185000,0.03,639.97,0.00,20.92,53.08,1.11,1.00,7.97,380.97,1.75,0.00,136512.00
q186000,0.02,646.95,0.00,21.25,52.44,1.11,1.00,8.06,379.22,1.76,0.00,137231.00
q187000,0.02,658.67,0.00,21.31,52.57,1.12,1.00,8.14,382.15,1.77,0.00,137936.00
q188000,0.02,662.91,0.00,21.46,51.98,1.12,1.00,8.23,383.59,1.77,0.00,138687.00
q189000,0.03,672.47,0.00,21.80,51.25,1.12,1.00,8.32,381.79,1.78,0.00,139433.00
q190000,0.02,680.16,0.00,22.17,51.89,1.15,1.00,8.41,379.13,1.79,0.00,140153.00
q191000,0.02,680.65,0.00,22.43,51.57,1.16,1.00,8.50,378.77,1.80,0.00,140867.00
q192000,0.02,687.38,0.00,21.95,51.93,1.14,1.00,8.58,391.07,1.81,0.00,141594.00
q193000,0.03,705.28,0.00,22.14,51.44,1.14,1.00,8.68,391.80,1.82,0.00,142318.00
q194000,0.03,712.33,0.00,22.43,51.77,1.16,1.00,8.77,390.87,1.83,0.00,143031.00
q195000,0.06,720.25,0.00,23.41,50.88,1.19,1.00,8.85,378.27,1.84,0.00,143764.00
q196000,0.05,716.03,0.00,23.39,51.44,1.20,1.00,8.95,382.50,1.85,0.00,144495.00
q197000,0.03,736.66,0.00,23.73,51.73,1.23,1.00,9.04,380.97,1.86,0.00,145227.00
q198000,0.05,746.21,0.00,23.77,51.87,1.23,1.00,9.13,384.06,1.87,0.00,145945.00
q199000,0.02,736.53,0.00,24.05,51.19,1.23,1.00,9.22,383.62,1.88,0.00,146682.00
q200000,0.03,771.16,0.00,24.42,50.98,1.25,1.00,9.31,381.36,1.89,0.00,147434.00
q201000,0.03,777.82,0.00,24.69,50.76,1.25,1.00,9.41,381.12,1.90,0.00,148162.00
q202000,0.03,779.14,0.00,24.96,52.40,1.31,1.00,9.51,380.85,1.91,0.00,148879.00
q203000,0.03,770.08,0.00,25.05,50.77,1.27,1.00,9.60,383.08,1.92,0.00,149608.00
q204000,0.03,802.61,0.00,25.25,51.17,1.29,1.00,9.69,383.86,1.93,0.00,150355.00
q205000,0.03,799.98,0.00,25.53,51.66,1.32,1.00,9.79,383.44,1.94,0.00,151105.00
q206000,0.03,807.49,0.00,26.18,50.35,1.32,1.00,9.88,377.47,1.94,0.00,151834.00
q207000,0.02,811.47,0.00,26.41,50.30,1.33,1.00,9.98,377.92,1.95,0.00,152554.00
q208000,0.02,832.54,0.00,26.50,50.35,1.33,1.00,10.07,380.14,1.96,0.00,153309.00
q209000,0.02,829.11,0.00,26.81,51.06,1.37,1.00,10.17,379.46,1.97,0.00,154064.00
q210000,0.02,863.20,0.00,27.04,50.01,1.35,1.00,10.27,379.94,1.98,0.00,154792.00
q211000,0.03,845.61,0.00,27.45,50.26,1.38,1.00,10.37,377.72,1.99,0.00,155558.00
q212000,0.02,864.08,0.00,27.70,51.59,1.43,1.00,10.47,377.91,2.00,0.00,156290.00
q213000,0.03,875.92,0.00,28.07,50.23,1.41,1.00,10.57,376.46,2.01,0.00,157053.00
q214000,0.05,887.79,0.00,29.92,49.90,1.49,1.00,10.66,356.42,2.02,0.00,157802.00
q215000,0.05,876.92,0.00,36.70,51.50,1.89,1.00,10.77,293.39,2.03,0.00,158532.00
q216000,0.03,901.73,0.00,28.64,49.59,1.42,1.00,10.86,379.28,2.04,0.00,159262.00
q217000,0.03,902.11,0.00,28.96,49.77,1.44,1.00,10.97,378.63,2.05,0.00,160003.00
q218000,0.06,916.05,0.00,29.24,50.97,1.49,1.00,11.07,378.53,2.06,0.00,160696.00
q219000,0.02,923.56,0.00,29.27,49.60,1.45,1.00,11.17,381.59,2.07,0.00,161427.00
q220000,0.03,929.06,0.00,29.44,50.82,1.50,1.00,11.27,382.91,2.08,0.00,162192.00
q221000,0.03,943.61,0.00,29.67,49.15,1.46,1.00,11.38,383.45,2.09,0.00,162962.00
q222000,0.05,947.76,0.00,30.20,49.55,1.50,1.00,11.48,380.00,2.10,0.00,163684.00
q223000,0.04,970.49,0.00,30.47,48.88,1.49,1.00,11.58,380.11,2.10,0.00,164402.00
q224000,0.02,987.10,0.00,30.46,48.59,1.48,1.00,11.68,383.49,2.11,0.00,165134.00
q225000,0.06,963.89,0.00,30.91,50.47,1.56,1.00,11.79,381.46,2.12,0.00,165870.00
q226000,0.03,1008.25,0.00,31.07,50.23,1.56,1.00,11.90,382.93,2.13,0.00,166627.00
q227000,0.02,1009.69,0.00,31.45,48.39,1.52,1.00,12.00,381.53,2.14,0.00,167408.00
q228000,0.05,1012.53,0.00,31.64,48.91,1.55,1.00,12.11,382.60,2.15,0.00,168156.00
q229000,0.02,1002.46,0.00,31.99,48.36,1.55,1.00,12.22,381.91,2.16,0.00,168897.00
q230000,0.03,996.50,0.00,32.22,48.33,1.56,1.00,12.32,382.36,2.17,0.00,169616.00
q231000,0.05,1004.22,0.00,32.48,50.61,1.64,1.00,12.43,382.60,2.18,0.00,170338.00
q232000,0.03,1012.27,0.00,32.96,48.55,1.60,1.00,12.53,380.27,2.19,0.00,171094.00
q233000,0.03,1020.77,0.00,33.20,48.13,1.60,1.00,12.64,380.76,2.20,0.00,171845.00
q234000,0.03,1028.93,0.00,33.38,48.56,1.62,1.00,12.75,382.04,2.21,0.00,172589.00
q235000,0.03,1039.08,0.00,32.64,48.31,1.58,1.00,12.86,393.93,2.22,0.00,173331.00
q236000,0.05,1092.81,0.00,32.76,45.85,1.50,1.00,12.97,395.94,2.23,0.00,174087.00
q237000,0.02,1098.12,0.00,32.97,43.90,1.45,1.00,13.08,396.80,2.24,0.00,174806.00
q238000,0.02,1109.58,0.00,34.43,46.22,1.59,1.00,13.19,383.09,2.25,0.00,175545.00
q239000,0.05,1110.82,0.00,34.70,45.73,1.59,1.00,13.30,383.36,2.26,0.00,176279.00
